Date,Tesla Close Price,Tesla Volume,Nickel Close Price,Nickel Volume,Lithium Close Price,Lithium Volume,NASDAQ Close Price,NASDAQ Volume,Day of the Week,Tesla Price MA10,Tesla Price MA50,Lithium Price MA10,Lithium Price MA50,Nickel Price MA10,Nickel Price MA50,Percentage Change Tesla,Percentage Change NASDAQ,Total Volume Tesla & NASDAQ
2015-10-01,47.976002,22865000,665.2,57400.0,18.780001000000002,7300,4627.080078,2133990000,Thursday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.03429947665056354,0.0014977666934365974,13073306000
2015-10-08,45.344002,30666000,663.0,29390.0,20.219998999999998,5400,4810.790039,1984230000,Thursday,48.6826005,44.93568010000002,18.969999899999998,20.1616,672.2299926757812,633.7099938964843,-0.022590016493792664,0.00409925329028038,12923546000
2015-10-15,44.262001,14221000,684.2,31830.0,20.34,10900,4870.100098,1942900000,Thursday,45.75139990000001,44.93568010000002,19.889999700000004,20.1616,672.2299926757812,633.7099938964843,0.0204260886302583,0.018242261039392416,12882216000
2015-10-22,42.344002,14126000,673.5,12620.0,20.68,5500,4920.049805,2156040000,Thursday,43.6732001,44.93568010000002,20.365999900000006,20.1616,679.6599975585938,633.7099938964843,0.007758579287039824,0.016513988510173938,13095356000
2015-10-29,42.326,9025000,675.0,25420.0,20.879998999999998,7100,5074.27002,1928310000,Thursday,42.984800000000014,44.93568010000002,20.602000000000004,20.1616,678.9499938964843,633.7099938964843,-0.006245280950537224,-0.0042035369592751115,12867626000
2015-11-05,46.354,22484000,649.3,38000.0,21.0,19800,5127.740234000001,2054490000,Thursday,43.035199700000014,44.93568010000002,20.797999800000003,20.1616,669.0899963378906,633.7099938964843,0.000604412209126659,-0.002866271926643349,12993806000
2015-11-12,42.588001,14579500,623.1,18010.0,20.040001,5800,5005.080078,1820930000,Thursday,43.97360030000003,44.93568010000002,20.619999999999997,20.1616,645.2699951171875,633.7099938964843,-0.028026313309005402,-0.012224136031734112,12760246000
2015-11-19,44.360001000000004,12522000,592.6,34250.0,20.620001000000002,30200,5073.640136999999,1794110000,Thursday,43.69160050000003,44.93568010000002,20.340000200000002,20.1616,620.1499938964844,633.7099938964843,0.0033021214252924036,-0.00030738846549105414,12733426000
2015-12-03,46.542,14698000,595.1,39030.0,20.07,4700,5037.529785,2088100000,Thursday,45.42419980000001,44.93568010000002,20.368000200000004,20.1616,585.7599975585938,633.7099938964843,0.003103603670494559,-0.016725892388758212,13027416000
2015-12-10,45.414001,10358500,572.3,37620.0,19.17,7800,5045.169922,1746520000,Thursday,46.07160000000001,44.57188012000002,19.89199990000001,20.257999979999997,588.9999877929688,633.7099938964843,0.011357607593034169,0.004439653919086073,12685836000
2015-12-17,46.678001,16493000,574.5,29740.0,19.6,10100,5002.549805,1897220000,Thursday,45.28820030000001,44.24216010000002,19.398000000000003,20.245999979999997,584.0699890136718,629.1539953613282,-0.0047758944181484075,-0.013523628773520757,12836536000
2015-12-24,46.113997999999995,3540000,567.2,16710.0,20.200001,41900,5048.490234000001,706880000,Thursday,45.5565998,44.45864008000003,19.544000399999998,20.2200001,579.2200012207031,618.8479956054688,0.0037875272918486136,0.0005073510553470495,11646196000
2015-12-31,48.001999,13575000,575.8,23620.0,20.09,8800,5007.410156,1437480000,Thursday,46.6174,44.677800100000034,20.029000500000002,20.20460014,573.85,610.1919958496094,0.008064156411440981,-0.01153605828626314,12376796000
2016-01-07,43.130001,17771500,562.9,44760.0,18.559998999999998,24300,4689.430176,2552590000,Thursday,45.7207997,44.81928004000004,19.9160004,20.105800139999996,570.6099975585937,601.6299963378906,-0.015476579973442761,-0.030259896496272587,13491906000
2016-01-14,41.236,32453500,579.4,39160.0,18.25,6100,4615.0,2565560000,Thursday,43.1369999,44.73788004000003,18.895000099999997,19.859400179999994,565.85,590.2099963378906,0.029304577904248452,0.019650632081901875,13504876000
2016-01-21,39.993999,15831000,592.2,25640.0,17.719998999999998,42700,4472.060059,2447750000,Thursday,41.1868003,44.35496012000002,18.1289998,19.61080013999999,569.1800048828125,584.7899975585938,0.006391469230424329,8.276915548344199e-05,13387066000
2016-01-28,37.939999,22964000,582.8,22820.0,17.66,3300,4506.680176,2322310000,Thursday,39.6964,43.911840000000026,17.8849997,19.377800099999995,573.6499938964844,577.49599609375,0.00866701274350068,0.008618798002821393,13261626000
2016-02-04,35.066002000000005,21927000,580.0,28030.0,18.360001,12700,4509.560059,2200930000,Thursday,37.79980009999999,43.22600006000003,17.933999800000006,19.13440005999999,573.6499938964844,577.49599609375,0.010664140265856048,0.001181070441101939,13140246000
2016-02-11,30.094,71262000,522.6,40550.0,17.25,6400,4266.839844,2812330000,Thursday,33.45420019999999,41.72788006000005,17.784000100000007,18.845800079999993,563.0099914550781,577.49599609375,0.047330724832279625,-0.003910271666990206,13751646000
2016-02-18,33.354,19438000,572.6,20340.0,18.26,4800,4487.540039,1955870000,Thursday,31.39940009999999,40.565440080000045,17.800000200000007,18.672000039999993,557.089990234375,577.49599609375,-0.011323215556082511,-0.010260124346535449,12895186000
2016-02-25,37.486,28753500,572.9,27960.0,18.559998999999998,6100,4582.200195,1667840000,Thursday,33.6018002,39.61144006000004,18.150999900000006,18.587000079999992,572.6399963378906,577.49599609375,0.047095001315502705,0.008715327354538394,12607156000
2016-03-03,39.147999,24145000,606.1,31300.0,19.790001,4700,4707.419922,1936290000,Thursday,36.8132003,38.870120100000044,18.880000100000007,18.58340005999999,589.8400024414062,577.49599609375,0.03929064562203033,0.0008504450094473093,12875606000
2016-03-10,41.035999,25962500,593.1,30730.0,19.99,6600,4662.160156,1936470000,Thursday,39.5105998,38.354520020000045,19.741000200000013,18.598800019999988,597.7799987792969,577.49599609375,-0.016960521678816787,-0.0026141921080143904,12875786000
2016-03-17,45.276001,18914500,590.0,38260.0,21.41,21300,4774.990234000001,1907190000,Thursday,42.24259980000001,38.06320006000004,20.52000010000001,18.67039997999999,594.8099975585938,577.49599609375,0.02005134411520082,0.002313200650436942,12846506000
2016-03-24,45.549999,24804500,581.0,10750.0,21.059998999999998,22100,4773.5,1590990000,Thursday,44.89860000000001,38.431680040000046,21.16500000000001,18.96079999999999,582.4099975585938,577.49599609375,0.02322760408005209,0.0009730076230589635,12530306000
2016-03-31,45.953998999999996,40064500,550.6,20100.0,21.48,63300,4869.850098,1774270000,Thursday,45.98119960000001,38.83507994000004,21.46500000000001,19.229999979999988,574.3299987792968,577.49599609375,0.01269339824114768,0.00011501861575591299,12713586000
2016-04-07,51.439999,44281000,562.1,23760.0,20.91,13700,4848.370117,1908940000,Thursday,48.14939970000002,39.92111994000005,21.263000100000006,19.561400079999988,564.8899963378906,577.49599609375,-0.030969802577047734,-0.014703152148226706,12848256000
2016-04-14,50.372002,20661000,599.9,13690.0,22.290001,107800,4945.890136999999,1645810000,Thursday,50.337400200000005,41.143159960000055,21.496000200000008,19.963800119999988,574.4599975585937,577.9419970703125,-0.010489844438370421,-0.0003092086429126173,12585126000
2016-04-21,49.658001,13915500,602.1,61920.0,23.43,66300,4945.890136999999,1758190000,Thursday,50.16439999999999,42.928639940000046,22.54000000000001,20.50080005999999,595.15,581.7959973144531,-0.006720766626410524,-0.0004526449492959772,12697506000
2016-04-28,49.542,12595000,613.8,21460.0,22.82,43300,4805.290039,2161400000,Thursday,50.250199800000004,44.886479920000035,23.140000000000008,21.037200079999987,606.7299987792969,587.6859985351563,-0.014952062173461234,-0.01189562635875141,13100716000
2016-05-05,42.306,56274000,597.7,47200.0,22.629998999999998,41700,4717.089844,1888350000,Thursday,48.149200099999995,46.013159940000044,22.876999700000006,21.467199999999988,616.1599975585938,591.1159985351562,-0.04955969065511123,-0.0018093406929261535,12827666000
2016-05-12,41.456001,18252500,577.9,32830.0,23.34,122100,4737.330078,1930450000,Thursday,43.955000299999995,46.43071990000004,22.868999800000005,21.865600039999983,605.4100036621094,591.4699987792969,-0.008039792304747384,-0.004906823021348261,12869766000
2016-05-19,43.042,34331500,578.8,23230.0,23.17,66500,4712.529785,1805890000,Thursday,41.91439999999999,46.56491996000003,23.08900010000001,22.16539999999998,584.7200073242187,588.9079992675781,0.01913148129157838,-0.005610816215570691,12745206000
2016-05-26,45.023998,20362000,558.7,28930.0,23.969998999999998,134400,4901.77002,1606250000,Thursday,42.92099979999999,46.68895994000004,23.400999700000007,22.47419993999998,574.0099975585938,586.9879992675782,0.02522993897440573,0.0014055234760013136,12545566000
